Video-mkv	video/x-matroska	.mkv	acjanc
Fujitsu Oasys	application/vnd.fujitsu.oasys2	.oa2	IANA: Fujitsu Oasys
Fujitsu Oasys	application/vnd.fujitsu.oasys3	.oa3	IANA: Fujitsu Oasys
Fujitsu Oasys	application/vnd.fujitsu.oasys	.oas	IANA: Fujitsu Oasys
Microsoft Office Binder	application/x-msbinder	.obd	Wikipedia: Microsoft Shared Tools
Office Document Architecture	application/oda	.oda	RFC 2161
OpenDocument Database	application/vnd.oasis.opendocument.database	.odb	IANA: OpenDocument Database
OpenDocument Chart	application/vnd.oasis.opendocument.chart	.odc	IANA: OpenDocument Chart
OpenDocument Formula	application/vnd.oasis.opendocument.formula	.odf	IANA: OpenDocument Formula
OpenDocument Formula Template	application/vnd.oasis.opendocument.formula-template	.odft	IANA: OpenDocument Formula Template
OpenDocument Graphics	application/vnd.oasis.opendocument.graphics	.odg	IANA: OpenDocument Graphics
OpenDocument Image	application/vnd.oasis.opendocument.image	.odi	IANA: OpenDocument Image
OpenDocument Text Master	application/vnd.oasis.opendocument.text-master	.odm	IANA: OpenDocument Text Master
OpenDocument Presentation	application/vnd.oasis.opendocument.presentation	.odp	IANA: OpenDocument Presentation
OpenDocument Spreadsheet	application/vnd.oasis.opendocument.spreadsheet	.ods	IANA: OpenDocument Spreadsheet
OpenDocument Text	application/vnd.oasis.opendocument.text	.odt	IANA: OpenDocument Text
Ogg Audio	audio/ogg	.oga	Wikipedia: Ogg
Ogg Video	video/ogg	.ogv	Wikipedia: Ogg
Ogg	application/ogg	.ogx	Wikipedia: Ogg
Microsoft OneNote	application/onenote	.onetoc	MS OneNote 2010
Open eBook Publication Structure	application/oebps-package+xml	.opf	Wikipedia: Open eBook
Lotus Organizer	application/vnd.lotus-organizer	.org	IANA: Lotus Organizer
Open Score Format	application/vnd.yamaha.openscoreformat	.osf	IANA: Open Score Format
OSFPVG	application/vnd.yamaha.openscoreformat.osfpvg+xml	.osfpvg	IANA: OSFPVG
OpenDocument Chart Template	application/vnd.oasis.opendocument.chart-template	.otc	IANA: OpenDocument Chart Template
OpenType Font File	application/x-font-otf	.otf	OpenType Font File
OpenDocument Graphics Template	application/vnd.oasis.opendocument.graphics-template	.otg	IANA: OpenDocument Graphics Template
Open Document Text Web	application/vnd.oasis.opendocument.text-web	.oth	IANA: OpenDocument Text Web
OpenDocument Image Template	application/vnd.oasis.opendocument.image-template	.oti	IANA: OpenDocument Image Template
OpenDocument Presentation Template	application/vnd.oasis.opendocument.presentation-template	.otp	IANA: OpenDocument Presentation Template
OpenDocument Spreadsheet Template	application/vnd.oasis.opendocument.spreadsheet-template	.ots	IANA: OpenDocument Spreadsheet Template
OpenDocument Text Template	application/vnd.oasis.opendocument.text-template	.ott	IANA: OpenDocument Text Template
Open Office Extension	application/vnd.openofficeorg.extension	.oxt	IANA: Open Office Extension
Pascal Source File	text/x-pascal	.p	Wikipedia: Pascal
PKCS #10 - Certification Request Standard	application/pkcs10	.p10	RFC 2986
PKCS #12 - Personal Information Exchange Syntax Standard	application/x-pkcs12	.p12	RFC 2986
PKCS #7 - Cryptographic Message Syntax Standard (Certificates)	application/x-pkcs7-certificates	.p7b	RFC 2986
PKCS #7 - Cryptographic Message Syntax Standard	application/pkcs7-mime	.p7m	RFC 2315
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response)	application/x-pkcs7-certreqresp	.p7r	RFC 2986
PKCS #7 - Cryptographic Message Syntax Standard	application/pkcs7-signature	.p7s	RFC 2315
PKCS #8 - Private-Key Information Syntax Standard	application/pkcs8	.p8	RFC 5208
BAS Partitur Format	text/plain-bas	.par	Phonetik BAS
PawaaFILE	application/vnd.pawaafile	.paw	IANA: PawaaFILE
PowerBuilder	application/vnd.powerbuilder6	.pbd	IANA: PowerBuilder
Portable Bitmap Format	image/x-portable-bitmap	.pbm	Wikipedia: Netpbm Format
Portable Compiled Format	application/x-font-pcf	.pcf	Wikipedia: Portable Compiled Format
HP Printer Command Language	application/vnd.hp-pcl	.pcl	IANA: HP Printer Command Language
PCL 6 Enhanced (Formely PCL XL)	application/vnd.hp-pclxl	.pclxl	IANA: HP PCL XL
CURL Applet	application/vnd.curl.pcurl	.pcurl	IANA: CURL Applet
PCX Image	image/x-pcx	.pcx	Wikipedia: PCX
PalmOS Data	application/vnd.palm	.pdb	IANA: PalmOS Data
Adobe Portable Document Format	application/pdf	.pdf	Adobe PDF
PostScript Fonts	application/x-font-type1	.pfa	Wikipedia: PostScript Fonts
Portable Font Resource	application/font-tdpfr	.pfr	RFC 3073
Portable Graymap Format	image/x-portable-graymap	.pgm	Wikipedia: Netpbm Format
Portable Game Notation (Chess Games)	application/x-chess-pgn	.pgn	Wikipedia: Portable Game Notationb
Pretty Good Privacy - Signature	application/pgp-signature	.pgp	RFC 2015
PICT Image	image/x-pict	.pic	Wikipedia: PICT
Internet Public Key Infrastructure - Certificate Management Protocole	application/pkixcmp	.pki	RFC 2585
Internet Public Key Infrastructure - Certification Path	application/pkix-pkipath	.pkipath	RFC 2585
3rd Generation Partnership Project - Pic Large	application/vnd.3gpp.pic-bw-large	.plb	3GPP
Mobius Management Systems - Policy Definition Language File	application/vnd.mobius.plc	.plc	IANA: Mobius Management Systems
PocketLearn Viewers	application/vnd.pocketlearn	.plf	IANA: PocketLearn Viewers
Pronunciation Lexicon Specification	application/pls+xml	.pls	RFC 4267
PosML	application/vnd.ctc-posml	.pml	IANA: PosML
Portable Network Graphics (PNG)	image/png	.png	RFC 2083
Portable Anymap Image	image/x-portable-anymap	.pnm	Wikipedia: Netpbm Format
MacPorts Port System	application/vnd.macports.portpkg	.portpkg	IANA: MacPorts Port System
Micosoft PowerPoint - Macro-Enabled Template File	application/vnd.ms-powerpoint.template.macroenabled.12	.potm	IANA: MS PowerPoint
Microsoft Office - OOXML - Presentation Template	application/vnd.openxmlformats-officedocument.presentationml.template	.potx	IANA: OOXML - Presentation Template
Microsoft PowerPoint - Add-in file	application/vnd.ms-powerpoint.addin.macroenabled.12	.ppam	IANA: MS PowerPoint
Adobe PostScript Printer Description File Format	application/vnd.cups-ppd	.ppd	IANA: Cups
Portable Pixmap Format	image/x-portable-pixmap	.ppm	Wikipedia: Netpbm Format
Microsoft PowerPoint - Macro-Enabled Slide Show File	application/vnd.ms-powerpoint.slideshow.macroenabled.12	.ppsm	IANA: MS PowerPoint
Microsoft Office - OOXML - Presentation (Slideshow)	application/vnd.openxmlformats-officedocument.presentationml.slideshow	.ppsx	IANA: OOXML - Presentation
Microsoft PowerPoint	application/vnd.ms-powerpoint	.ppt	IANA: MS PowerPoint
Microsoft PowerPoint - Macro-Enabled Presentation File	application/vnd.ms-powerpoint.presentation.macroenabled.12	.pptm	IANA: MS PowerPoint
Microsoft Office - OOXML - Presentation	application/vnd.openxmlformats-officedocument.presentationml.presentation	.pptx	IANA: OOXML - Presentation
Mobipocket	application/x-mobipocket-ebook	.prc	Wikipedia: Mobipocket
Lotus Freelance	application/vnd.lotus-freelance	.pre	IANA: Lotus Freelance
PICSRules	application/pics-rules	.prf	W3C PICSRules
3rd Generation Partnership Project - Pic Small	application/vnd.3gpp.pic-bw-small	.psb	3GPP
Photoshop Document	image/vnd.adobe.photoshop	.psd	Wikipedia: Photoshop Document
PSF Fonts	application/x-font-linux-psf	.psf	PSF Fonts
Portable Symmetric Key Container	application/pskc+xml	.pskcxml	RFC 6030
Princeton Video Image	application/vnd.pvi.ptid1	.ptid	IANA: Princeton Video Image
Microsoft Publisher	application/x-mspublisher	.pub	Wikipedia: Microsoft Publisher
3rd Generation Partnership Project - Pic Var	application/vnd.3gpp.pic-bw-var	.pvb	3GPP
3M Post It Notes	application/vnd.3m.post-it-notes	.pwn	IANA: 3M Post It Notes
Microsoft PlayReady Ecosystem	audio/vnd.ms-playready.media.pya	.pya	IANA: Microsoft PlayReady Ecosystem
Microsoft PlayReady Ecosystem Video	video/vnd.ms-playready.media.pyv	.pyv	IANA: Microsoft PlayReady Ecosystem
QuickAnime Player	application/vnd.epson.quickanime	.qam	IANA: QuickAnime Player
Open Financial Exchange	application/vnd.intu.qbo	.qbo	IANA: Open Financial Exchange
Quicken	application/vnd.intu.qfx	.qfx	IANA: Quicken
PubliShare Objects	application/vnd.publishare-delta-tree	.qps	IANA: PubliShare Objects
Quicktime Video	video/quicktime	.qt	Wikipedia: Quicktime
QuarkXpress	application/vnd.quark.quarkxpress	.qxd	IANA: QuarkXPress
Real Audio Sound	audio/x-pn-realaudio	.ram	Wikipedia: RealPlayer
RAR Archive	application/x-rar-compressed	.rar	Wikipedia: RAR
CMU Image	image/x-cmu-raster	.ras	
IP Unplugged Roaming Client	application/vnd.ipunplugged.rcprofile	.rcprofile	IANA: IP Unplugged Roaming Client
Resource Description Framework	application/rdf+xml	.rdf	RFC 3870
RemoteDocs R-Viewer	application/vnd.data-vision.rdz	.rdz	IANA: Data-Vision
BusinessObjects	application/vnd.businessobjects	.rep	IANA: BusinessObjects
Digital Talking Book - Resource File	application/x-dtbresource+xml	.res	Digital Talking Book
Silicon Graphics RGB Bitmap	image/x-rgb	.rgb	RGB Image Format
IMS Networks	application/reginfo+xml	.rif	
Hit'n'Mix	audio/vnd.rip	.rip	IANA: Hit'n'Mix
XML Resource Lists	application/resource-lists+xml	.rl	RFC 4826
EDMICS 2000	image/vnd.fujixerox.edmics-rlc	.rlc	IANA: EDMICS 2000
XML Resource Lists Diff	application/resource-lists-diff+xml	.rld	RFC 4826
RealMedia	application/vnd.rn-realmedia	.rm	
Real Audio Sound	audio/x-pn-realaudio-plugin	.rmp	Wikipedia: RealPlayer
Mobile Information Device Profile	application/vnd.jcp.javame.midlet-rms	.rms	IANA: Mobile Information Device Profile
Relax NG Compact Syntax	application/relax-ng-compact-syntax	.rnc	Relax NG
RetroPlatform Player	application/vnd.cloanto.rp9	.rp9	IANA: RetroPlatform Player
Nokia Radio Application - Preset	application/vnd.nokia.radio-presets	.rpss	IANA: Nokia Radio Application
Nokia Radio Application - Preset	application/vnd.nokia.radio-preset	.rpst	IANA: Nokia Radio Application
SPARQL - Query	application/sparql-query	.rq	W3C SPARQL
XML Resource Lists	application/rls-services+xml	.rs	RFC 4826
Really Simple Discovery	application/rsd+xml	.rsd	Wikipedia: Really Simple Discovery
RSS - Really Simple Syndication	application/rss+xml	.rss, .xml	Wikipedia: RSS
Rich Text Format	application/rtf	.rtf	Wikipedia: Rich Text Format
Rich Text Format (RTF)	text/richtext	.rtx	Wikipedia: Rich Text Format
Assembler Source File	text/x-asm	.s	Wikipedia: Assembly
SMAF Audio	application/vnd.yamaha.smaf-audio	.saf	IANA: SMAF Audio
Systems Biology Markup Language	application/sbml+xml	.sbml	RFC 3823
IBM Electronic Media Management System - Secure Container	application/vnd.ibm.secure-container	.sc	IANA: EMMS
Microsoft Schedule+	application/x-msschedule	.scd	Wikipedia: Microsoft Schedule Plus
Lotus Screencam	application/vnd.lotus-screencam	.scm	IANA: Lotus Screencam
Server-Based Certificate Validation Protocol - Validation Request	application/scvp-cv-request	.scq	RFC 5055
Server-Based Certificate Validation Protocol - Validation Response	application/scvp-cv-response	.scs	RFC 5055
Curl - Source Code	text/vnd.curl.scurl	.scurl	Curl Source Code
StarOffice - Draw	application/vnd.stardivision.draw	.sda	
StarOffice - Calc	application/vnd.stardivision.calc	.sdc	
StarOffice - Impress	application/vnd.stardivision.impress	.sdd	
SudokuMagic	application/vnd.solent.sdkm+xml	.sdkm	IANA: SudokuMagic
Session Description Protocol	application/sdp	.sdp	RFC 2327
StarOffice - Writer	application/vnd.stardivision.writer	.sdw	
SeeMail	application/vnd.seemail	.see	IANA: SeeMail
Digital Siesmograph Networks - SEED Datafiles	application/vnd.fdsn.seed	.seed	IANA: SEED
Secured eMail	application/vnd.sema	.sema	IANA: Secured eMail
Secured eMail	application/vnd.semd	.semd	IANA: Secured eMail
Secured eMail	application/vnd.semf	.semf	IANA: Secured eMail
Java Serialized Object	application/java-serialized-object	.ser	Java Serialization API
Secure Electronic Transaction - Payment	application/set-payment-initiation	.setpay	IANA: SET Payment
Secure Electronic Transaction - Registration	application/set-registration-initiation	.setreg	IANA: SET Registration
Hydrostatix Master Suite	application/vnd.hydrostatix.sof-data	.sfd-hdstx	IANA: Hydrostatix Master Suite
TIBCO Spotfire	application/vnd.spotfire.sfs	.sfs	IANA: TIBCO Spotfire
StarOffice - Writer (Global)	application/vnd.stardivision.writer-global	.sgl	
Standard Generalized Markup Language (SGML)	text/sgml	.sgml	Wikipedia: SGML
Bourne Shell Script	application/x-sh	.sh	Wikipedia: Bourne Shell
Shell Archive	application/x-shar	.shar	Wikipedia: Shell Archie
S Hexdump Format	application/shf+xml	.shf	RFC 4194
Symbian Install Package	application/vnd.symbian.install	.sis	IANA: Symbian Install
Stuffit Archive	application/x-stuffit	.sit	Wikipedia: Stuffit
Stuffit Archive	application/x-stuffitx	.sitx	Wikipedia: Stuffit
SSEYO Koan Play File	application/vnd.koan	.skp	IANA: SSEYO Koan Play File
Microsoft PowerPoint - Macro-Enabled Open XML Slide	application/vnd.ms-powerpoint.slide.macroenabled.12	.sldm	IANA: MS PowerPoint
Microsoft Office - OOXML - Presentation (Slide)	application/vnd.openxmlformats-officedocument.presentationml.slide	.sldx	IANA: OOXML - Presentation
SimpleAnimeLite Player	application/vnd.epson.salt	.slt	IANA: SimpleAnimeLite Player
StepMania	application/vnd.stepmania.stepchart	.sm	IANA: StepMania
StarOffice - Math	application/vnd.stardivision.math	.smf	
Synchronized Multimedia Integration Language	application/smil+xml	.smi	RFC 4536
Server Normal Format	application/x-font-snf	.snf	Wikipedia: Server Normal Format
SMAF Phrase	application/vnd.yamaha.smaf-phrase	.spf	IANA: SMAF Phrase
FutureSplash Animator	application/x-futuresplash	.spl	Wikipedia: FutureSplash Animator
In3D - 3DML	text/vnd.in3d.spot	.spot	IANA: In3D
Server-Based Certificate Validation Protocol - Validation Policies - Response	application/scvp-vp-response	.spp	RFC 5055
Server-Based Certificate Validation Protocol - Validation Policies - Request	application/scvp-vp-request	.spq	RFC 5055
WAIS Source	application/x-wais-source	.src	YoLinux
Search/Retrieve via URL Response Format	application/sru+xml	.sru	RFC 6207
SPARQL - Results	application/sparql-results+xml	.srx	W3C SPARQL
Kodak Storyshare	application/vnd.kodak-descriptor	.sse	IANA: Kodak Storyshare
QUASS Stream Player	application/vnd.epson.ssf	.ssf	IANA: QUASS Stream Player
Speech Synthesis Markup Language	application/ssml+xml	.ssml	W3C Speech Synthesis
SailingTracker	application/vnd.sailingtracker.track	.st	IANA: SailingTracker
OpenOffice - Calc Template (Spreadsheet)	application/vnd.sun.xml.calc.template	.stc	Wikipedia: OpenOffice
OpenOffice - Draw Template (Graphics)	application/vnd.sun.xml.draw.template	.std	Wikipedia: OpenOffice
Worldtalk	application/vnd.wt.stf	.stf	IANA: Worldtalk
OpenOffice - Impress Template (Presentation)	application/vnd.sun.xml.impress.template	.sti	Wikipedia: OpenOffice
Hyperstudio	application/hyperstudio	.stk	IANA - Hyperstudio
Microsoft Trust UI Provider - Certificate Trust Link	application/vnd.ms-pki.stl	.stl	IANA: MS Trust UI Provider
Proprietary P&G Standard Reporting System	application/vnd.pg.format	.str	IANA: Proprietary P&G Standard Reporting System
OpenOffice - Writer Template (Text - HTML)	application/vnd.sun.xml.writer.template	.stw	Wikipedia: OpenOffice
Close Captioning - Subtitle	image/vnd.dvb.subtitle	.sub	Wikipedia: Closed Captioning
ScheduleUs	application/vnd.sus-calendar	.sus	IANA: ScheduleUs
System V Release 4 CPIO Archive	application/x-sv4cpio	.sv4cpio	Wikipedia: pax
System V Release 4 CPIO Checksum Data	application/x-sv4crc	.sv4crc	Wikipedia: pax
Digital Video Broadcasting	application/vnd.dvb.service	.svc	IANA: Digital Video Broadcasting
SourceView Document	application/vnd.svd	.svd	IANA: SourceView Document
Scalable Vector Graphics (SVG)	image/svg+xml	.svg	Wikipedia: SVG
Adobe Flash	application/x-shockwave-flash	.swf	Wikipedia: Adobe Flash
Arista Networks Software Image	application/vnd.aristanetworks.swi	.swi	IANA: Arista Networks Software Image
OpenOffice - Calc (Spreadsheet)	application/vnd.sun.xml.calc	.sxc	Wikipedia: OpenOffice
OpenOffice - Draw (Graphics)	application/vnd.sun.xml.draw	.sxd	Wikipedia: OpenOffice
OpenOffice - Writer (Text - HTML)	application/vnd.sun.xml.writer.global	.sxg	Wikipedia: OpenOffice
OpenOffice - Impress (Presentation)	application/vnd.sun.xml.impress	.sxi	Wikipedia: OpenOffice
OpenOffice - Math (Formula)	application/vnd.sun.xml.math	.sxm	Wikipedia: OpenOffice
OpenOffice - Writer (Text - HTML)	application/vnd.sun.xml.writer	.sxw	Wikipedia: OpenOffice
troff	text/troff	.t	Wikipedia: troff
Tao Intent	application/vnd.tao.intent-module-archive	.tao	IANA: Tao Intent
Tar File (Tape Archive)	application/x-tar	.tar	Wikipedia: Tar
3rd Generation Partnership Project - Transaction Capabilities Application Part	application/vnd.3gpp2.tcap	.tcap	3GPP
Tcl Script	application/x-tcl	.tcl	Wikipedia: Tcl
SMART Technologies Apps	application/vnd.smart.teacher	.teacher	IANA: SMART Technologies Apps
Text Encoding and Interchange	application/tei+xml	.tei	RFC 6129
TeX	application/x-tex	.tex	Wikipedia: TeX
GNU Texinfo Document	application/x-texinfo	.texinfo	Wikipedia: Texinfo
Sharing Transaction Fraud Data	application/thraud+xml	.tfi	RFC 5941
TeX Font Metric	application/x-tex-tfm	.tfm	Wikipedia: TeX Font Metric
Microsoft Office System Release Theme	application/vnd.ms-officetheme	.thmx	IANA: MS Office System Release Theme
Tagged Image File Format	image/tiff	.tiff	Wikipedia: TIFF
MobileTV	application/vnd.tmobile-livetv	.tmo	IANA: MobileTV
BitTorrent	application/x-bittorrent	.torrent	Wikipedia: BitTorrent
Groove - Tool Template	application/vnd.groove-tool-template	.tpl	IANA: Groove
TRI Systems Config	application/vnd.trid.tpt	.tpt	IANA: TRI Systems
True BASIC	application/vnd.trueapp	.tra	IANA: True BASIC
Microsoft Windows Terminal Services	application/x-msterminal	.trm	Wikipedia: Terminal Server
Time Stamped Data Envelope	application/timestamped-data	.tsd	RFC 5955
Tab Seperated Values	text/tab-separated-values	.tsv	Wikipedia: TSV
TrueType Font	application/x-font-ttf	.ttf	Wikipedia: TrueType
Turtle (Terse RDF Triple Language)	text/turtle	.ttl	Wikipedia: Turtle
SimTech MindMapper	application/vnd.simtech-mindmapper	.twd	IANA: SimTech MindMapper
Genomatix Tuxedo Framework	application/vnd.genomatix.tuxedo	.txd	IANA: Genomatix Tuxedo Framework
Mobius Management Systems - Topic Index File	application/vnd.mobius.txf	.txf	IANA: Mobius Management Systems
Text File	text/plain	.txt	Wikipedia: Text File
Universal Forms Description Language	application/vnd.ufdl	.ufd	IANA: Universal Forms Description Language
UMAJIN	application/vnd.umajin	.umj	IANA: UMAJIN
Unity 3d	application/vnd.unity	.unityweb	IANA: Unity 3d
Unique Object Markup Language	application/vnd.uoml+xml	.uoml	IANA: UOML
URI Resolution Services	text/uri-list	.uri	RFC 2483
Ustar (Uniform Standard Tape Archive)	application/x-ustar	.ustar	Wikipedia: Ustar
User Interface Quartz - Theme (Symbian)	application/vnd.uiq.theme	.utz	IANA: User Interface Quartz
UUEncode	text/x-uuencode	.uu	Wikipedia: UUEncode
DECE Audio	audio/vnd.dece.audio	.uva	IANA: Dece Audio
DECE High Definition Video	video/vnd.dece.hd	.uvh	IANA: DECE HD Video
DECE Graphic	image/vnd.dece.graphic	.uvi	IANA: DECE Graphic
DECE Mobile Video	video/vnd.dece.mobile	.uvm	IANA: DECE Mobile Video
DECE PD Video	video/vnd.dece.pd	.uvp	IANA: DECE PD Video
DECE SD Video	video/vnd.dece.sd	.uvs	IANA: DECE SD Video
DECE MP4	video/vnd.uvvu.mp4	.uvu	IANA: DECE MP4
DECE Video	video/vnd.dece.video	.uvv	IANA: DECE Video
Video CD	application/x-cdlink	.vcd	Wikipedia: Video CD
vCard	text/x-vcard	.vcf	Wikipedia: vCard
Groove - Vcard	application/vnd.groove-vcard	.vcg	IANA: Groove
vCalendar	text/x-vcalendar	.vcs	Wikipedia: vCalendar
VirtualCatalog	application/vnd.vcx	.vcx	IANA: VirtualCatalog
Visionary	application/vnd.visionary	.vis	IANA: Visionary
Vivo	video/vnd.vivo	.viv	IANA: Vivo
Microsoft Visio	application/vnd.visio	.vsd	IANA: Visio
Viewport+	application/vnd.vsf	.vsf	IANA: Viewport+
Virtue VTU	model/vnd.vtu	.vtu	IANA: VTU
VoiceXML	application/voicexml+xml	.vxml	RFC 4267
Doom Video Game	application/x-doom	.wad	Wikipedia: Doom WAD
Waveform Audio File Format (WAV)	audio/x-wav	.wav	Wikipedia: WAV
Microsoft Windows Media Audio Redirector	audio/x-ms-wax	.wax	Windows Media Metafiles
WAP Bitamp (WBMP)	image/vnd.wap.wbmp	.wbmp	IANA: WBMP
Critical Tools - PERT Chart EXPERT	application/vnd.criticaltools.wbs+xml	.wbs	IANA: Critical Tools
WAP Binary XML (WBXML)	application/vnd.wap.wbxml	.wbxml	IANA: WBXML
Open Web Media Project - Audio	audio/webm	.weba	WebM Project
Open Web Media Project - Video	video/webm	.webm	WebM Project
WebP Image	image/webp	.webp	Wikipedia: WebP
Qualcomm's Plaza Mobile Internet	application/vnd.pmi.widget	.wg	IANA: Qualcomm's Plaza Mobile Internet
Widget Packaging and XML Configuration	application/widget	.wgt	W3C Widget Packaging and XML Configuration
Microsoft Windows Media	video/x-ms-wm	.wm	Wikipedia: Advanced Systems Format (ASF)
Microsoft Windows Media Audio	audio/x-ms-wma	.wma	Wikipedia: Windows Media Audio
Microsoft Windows Media Player Download Package	application/x-ms-wmd	.wmd	Wikipedia: Windows Media Player
Microsoft Windows Metafile	application/x-msmetafile	.wmf	Wikipedia: Windows Metafile
Wireless Markup Language (WML)	text/vnd.wap.wml	.wml	Wikipedia: WML
Compiled Wireless Markup Language (WMLC)	application/vnd.wap.wmlc	.wmlc	IANA: WMLC
Wireless Markup Language Script (WMLScript)	text/vnd.wap.wmlscript	.wmls	Wikipedia: WMLScript
WMLScript	application/vnd.wap.wmlscriptc	.wmlsc	IANA: WMLScript
Microsoft Windows Media Video	video/x-ms-wmv	.wmv	Wikipedia: Advanced Systems Format (ASF)
Microsoft Windows Media Audio/Video Playlist	video/x-ms-wmx	.wmx	Wikipedia: Advanced Systems Format (ASF)
Microsoft Windows Media Player Skin Package	application/x-ms-wmz	.wmz	Wikipedia: Windows Media Player
Web Open Font Format	application/x-font-woff	.woff	Wikipedia: Web Open Font Format
Wordperfect	application/vnd.wordperfect	.wpd	IANA: Wordperfect
Microsoft Windows Media Player Playlist	application/vnd.ms-wpl	.wpl	IANA: MS Windows Media Player Playlist
Microsoft Works	application/vnd.ms-works	.wps	IANA: MS Works
SundaHus WQ	application/vnd.wqd	.wqd	IANA: SundaHus WQ
Microsoft Wordpad	application/x-mswrite	.wri	Wikipedia: Wordpad
Virtual Reality Modeling Language	model/vrml	.wrl	Wikipedia: VRML
WSDL - Web Services Description Language	application/wsdl+xml	.wsdl	W3C Web Service Description Language
Web Services Policy	application/wspolicy+xml	.wspolicy	W3C Web Services Policy
WebTurbo	application/vnd.webturbo	.wtb	IANA: WebTurbo
Microsoft Windows Media Video Playlist	video/x-ms-wvx	.wvx	Wikipedia: Advanced Systems Format (ASF)
3D Crossword Plugin	application/vnd.hzn-3d-crossword	.x3d	IANA: 3D Crossword Plugin
Microsoft Silverlight	application/x-silverlight-app	.xap	Wikipedia: Silverlight
CorelXARA	application/vnd.xara	.xar	IANA: CorelXARA
Microsoft XAML Browser Application	application/x-ms-xbap	.xbap	Wikipedia: XAML Browser
Fujitsu - Xerox DocuWorks Binder	application/vnd.fujixerox.docuworks.binder	.xbd	IANA: Docuworks Binder
X BitMap	image/x-xbitmap	.xbm	Wikipedia: X BitMap
XML Configuration Access Protocol - XCAP Diff	application/xcap-diff+xml	.xdf	Wikipedia: XCAP
SyncML - Device Management	application/vnd.syncml.dm+xml	.xdm	IANA: SyncML
Adobe XML Data Package	application/vnd.adobe.xdp+xml	.xdp	Wikipedia: XML Data Package
Data Structure for the Security Suitability of Cryptographic Algorithms	application/dssc+xml	.xdssc	RFC 5698
Fujitsu - Xerox DocuWorks	application/vnd.fujixerox.docuworks	.xdw	IANA: Docuworks
XML Encryption Syntax and Processing	application/xenc+xml	.xenc	W3C XML Encryption Syntax and Processing
XML Patch Framework	application/patch-ops-error+xml	.xer	RFC 5261
Adobe XML Forms Data Format	application/vnd.adobe.xfdf	.xfdf	Wikipedia: XML Portable Document Format
Extensible Forms Description Language	application/vnd.xfdl	.xfdl	IANA: Extensible Forms Description Language
XHTML - The Extensible HyperText Markup Language	application/xhtml+xml	.xhtml	W3C XHTML
eXtended Image File Format (XIFF)	image/vnd.xiff	.xif	IANA: XIFF
Microsoft Excel - Add-In File	application/vnd.ms-excel.addin.macroenabled.12	.xlam	IANA: MS Excel
Microsoft Excel	application/vnd.ms-excel	.xls	IANA: MS Excel
Microsoft Excel - Binary Workbook	application/vnd.ms-excel.sheet.binary.macroenabled.12	.xlsb	IANA: MS Excel
Microsoft Excel - Macro-Enabled Workbook	application/vnd.ms-excel.sheet.macroenabled.12	.xlsm	IANA: MS Excel
Microsoft Office - OOXML - Spreadsheet	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	.xlsx	IANA: OOXML - Spreadsheet
Microsoft Excel - Macro-Enabled Template File	application/vnd.ms-excel.template.macroenabled.12	.xltm	IANA: MS Excel
Microsoft Office - OOXML - Spreadsheet Teplate	application/vnd.openxmlformats-officedocument.spreadsheetml.template	.xltx	IANA: OOXML - Spreadsheet Template
XML - Extensible Markup Language	application/xml	.xml	W3C XML
Sugar Linux Application Bundle	application/vnd.olpc-sugar	.xo	IANA: Sugar Linux App Bundle
XML-Binary Optimized Packaging	application/xop+xml	.xop	W3C XOP
XPInstall - Mozilla	application/x-xpinstall	.xpi	Wikipedia: XPI
X PixMap	image/x-xpixmap	.xpm	Wikipedia: X PixMap
Express by Infoseek	application/vnd.is-xpr	.xpr	IANA: Express by Infoseek
Microsoft XML Paper Specification	application/vnd.ms-xpsdocument	.xps	IANA: MS XML Paper Specification
Intercon FormNet	application/vnd.intercon.formnet	.xpw	IANA: Intercon FormNet
XML Transformations	application/xslt+xml	.xslt	W3C XSLT
SyncML	application/vnd.syncml+xml	.xsm	IANA: SyncML
XSPF - XML Shareable Playlist Format	application/xspf+xml	.xspf	XML Shareable Playlist Format
XUL - XML User Interface Language	application/vnd.mozilla.xul+xml	.xul	IANA: XUL
X Window Dump	image/x-xwindowdump	.xwd	Wikipedia: X Window Dump
XYZ File Format	chemical/x-xyz	.xyz	Wikipedia: XYZ File Format
YAML Ain't Markup Language / Yet Another Markup Language	text/yaml	.yaml	YAML: YAML Ain't Markup Language
YANG Data Modeling Language	application/yang	.yang	Wikipedia: YANG
YIN (YANG - XML)	application/yin+xml	.yin	Wikipedia: YANG
Zzazz Deck	application/vnd.zzazz.deck+xml	.zaz	IANA: Zzazz
Zip Archive	application/zip	.zip	Wikipedia: Zip
Z.U.L. Geometry	application/vnd.zul	.zir	IANA: Z.U.L.
ZVUE Media Manager	application/vnd.handheld-entertainment+xml	.zmm	IANA: ZVUE Media Manager
